fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,-2.867124,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,-3.024918,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,-3.111708,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,-3.192658,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,-3.2729270000000006,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),-2.14026,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),-2.350222,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),-2.483301,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),-2.534184,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),-2.603316,Available,Industrial Alliance
FU070BRUT,Money Market,0.413265,Available,Industrial Alliance
FU170BRUT,Short Term Bond,-0.577305,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),-2.609799,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),-2.874994,Available,Industrial Alliance
FU020BRUT,Bond,-2.917604,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,-2.919812,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),-3.060691,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),-2.732235,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),-2.718586,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),-2.477953,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),-3.076158,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,-1.7743020000000003,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-6.224559,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-5.961603,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),-1.477663,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.390579,Available,Industrial Alliance
FU240BRUT,Diversified Security,-2.691357,Available,Industrial Alliance
