fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,4.893237,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,5.14699,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,5.339453,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,5.535471,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,5.717778,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),4.213266,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),4.647465,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),5.10443,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),5.333373,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),5.551432,Available,Industrial Alliance
FU070BRUT,Money Market,0.424769,Available,Industrial Alliance
FU170BRUT,Short Term Bond,2.123874,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),4.307093,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),4.547285,Available,Industrial Alliance
FU020BRUT,Bond,4.637896,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,4.606635,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),4.666588,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),4.34034,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),4.493761,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),4.571376,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),4.885722,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,3.8485399999999994,Available,Industrial Alliance
FU504BRUT,Long Term Bond,8.856906,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),8.97758,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),3.902506,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.985875,Available,Industrial Alliance
FU240BRUT,Diversified Security,4.817008,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),6.100628,Available,Industrial Alliance
FU040BRUT,Diversified,5.295164,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),5.392092,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,6.188827,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,5.321413,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),6.173884,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),5.687595,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,5.506862,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,6.003359,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),7.486115,Available,Industrial Alliance
FU160BRUT,Dividend,6.487898,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),6.460982,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),6.254848,Available,Industrial Alliance
FU358BRUT,Fundamental Canadian Equity (Beutel Goodman),5.128626,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,5.517649,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),7.403437,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,7.353192999999999,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,7.052098,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,6.926523999999999,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),7.130222,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),5.352622,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),5.349687,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),8.079385,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),8.065556,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),7.83419,Available,Industrial Alliance
FU270BRUT,Fidelity True North,5.901396,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,5.953395,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),5.812547,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),6.615016999999999,Available,Industrial Alliance
FU707BRUT,Global Equity,6.045042,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),3.3967649999999994,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,2.86814,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),5.404946,Available,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),6.240113,Available,Industrial Alliance
FU359BRUT,Global Equity Opportunistic Value (Wellington),5.315129,Available,Industrial Alliance
FU945BRUT,Climate Strategy (Wellington),6.663269,Available,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),6.351153,Available,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),6.229906,Available,Industrial Alliance
FU133BRUT,Global Equity (Mawer),5.461885,Available,Industrial Alliance
FU456BRUT,Global Equity (Walter Scott),6.225412,Available,Industrial Alliance
FU595BRUT,Global Equity (Fiera Capital)**,5.778297,Available,Industrial Alliance
FU724BRUT,Global Equity (PH&N) ,6.236196,Available,Industrial Alliance
FU641BRUT,Global Equity Growth (T Rowe Price),5.728554,Available,Industrial Alliance
FU331BRUT,Global Equity (Baillie Gifford),9.46848,Available,Industrial Alliance
FU387BRUT,Sustainable Growth (Baillie Gifford),10.183765,Available,Industrial Alliance
FU781BRUT,Global Equity Small Cap (Fisher),8.632777,Available,Industrial Alliance
FU609BRUT,Global Equity Small Cap (Global Alpha),5.438359,Available,Industrial Alliance
FU130BRUT,Global Equity Small Cap (Mawer)**,6.988645,Available,Industrial Alliance
FU300BRUT,International Equity Index (BlackRock),6.742545999999999,Available,Industrial Alliance
FU706BRUT,International Equity,6.890232999999999,Available,Industrial Alliance
FU483BRUT,International Equity (Jarislowsky),7.8305050000000005,Available,Industrial Alliance
FU131BRUT,International Equity (Mawer),6.3209290000000005,Available,Industrial Alliance
FU467BRUT,International Equity (MFS),6.492284,Available,Industrial Alliance
FU760BRUT,US Equity Index (BlackRock),6.5651790000000005,Available,Industrial Alliance
FU895BRUT,US Equity Index Non-Registered (BlackRock),6.533674,Available,Industrial Alliance
FU518BRUT,US Dividend Growth,5.575532,Available,Industrial Alliance
FU705BRUT,US Equity,4.919879,Available,Industrial Alliance
FU512BRUT,US Equity (Jarislowsky),6.051985,Available,Industrial Alliance
FU132BRUT,US Equity (Mawer),5.261469,Available,Industrial Alliance
FU513BRUT,US Equity Core (MFS),6.077465,Available,Industrial Alliance
FU479BRUT,US Equity (Fiera Capital)**,5.888601,Available,Industrial Alliance
FU233BRUT,Thematic Innovation,7.18926,Available,Industrial Alliance
FU642BRUT,US Large Cap Core Growth Equity (T Rowe Price),8.367927,Available,Industrial Alliance
FU898BRUT,Emerging Markets Equity Index (BlackRock)*,5.382618,Available,Industrial Alliance
