fund_identifier,funds,fees,fund_company
S036,Foreign Bond Fund (S036),0.01608,Canada Life
GLEQC,Global Equity Fund (GLEQC),0.01633,Canada Life
LSGAG,Far East Fund (LSGAG),0.01633,Canada Life
LCOMK,Global Low Volatility Fund (LCOMK),0.01633,Canada Life
RETCO,Retirement Conservative Fund (RETCO),0.0165,Canada Life
RETMO,Retirement Moderate Fund (RETMO),0.01653,Canada Life
RETBA,Retirement Balanced Fund (RETBA),0.01657,Canada Life
LLMON,Canadian Money Market Fund (LLMON),0.01383,Canada Life
S029,Money Market LK Fund (S029),0.01383,Canada Life
LCBIL,Canadian Bond Universe Index Fund (LCBIL),0.01383,Canada Life
LCBG,Canadian Core Fixed Income Fund (LCBG),0.01433,Canada Life
STBP,Canadian Short Term Bond Fund (STBP),0.01433,Canada Life
LLBON,Core Bond Fund (LLBON),0.01433,Canada Life
S019,Core Plus Bond Fund (S019),0.01483,Canada Life
CORBP,Corporate Bond Fund (CORBP),0.01433,Canada Life
FRIMK,Floating Rate Income Fund (FRIMK),0.01583,Canada Life
LGBG,Government Bond Fund (LGBG),0.01433,Canada Life
SRBP,SRI Bond Fund (SRBP),0.01433,Canada Life
UFIMK,Unconstrained Fixed Income Fund (UFIMK),0.01553,Canada Life
NABMK,NA High Yield Bond Fund (NABMK),0.01553,Canada Life
LCEG,Canadian All Cap Growth Fund (LCEG),0.01533,Canada Life
LCEGM,Canadian Core Growth Fund (LCEGM),0.01563,Canada Life
S002,Canadian Equity Fund (S002),0.01533,Canada Life
LEIG,Canadian Equity Index Fund (LEIG),0.01383,Canada Life
LEMK,Equity Fund (LEMK),0.01533,Canada Life
LLEG,SRI Canadian Equity Fund (LLEG),0.01533,Canada Life
LMCCG,Mid Cap Canada Fund (LMCCG),0.01633,Canada Life
LSCMK,Smaller Company Fund (LSCMK),0.01633,Canada Life
S039,Canadian Concentrated Dividend Fund (S039),0.01533,Canada Life
LDVDM,Canadian Dividend Fund (LDVDM),0.01563,Canada Life
LLCMK,Canadian Low Volatility Fund (LLCMK),0.01533,Canada Life
LLCNE,Canadian Value Equity Fund (LLCNE),0.01533,Canada Life
LDVDG,Dividend Fund (LDVDG),0.01533,Canada Life
LGIMK,Canadian Balanced Ivy Fund (LGIMK),0.01583,Canada Life
LDG,Strategic Income III Fund (LDG),0.01613,Canada Life
LLDIV,Strategic Income II Fund (LLDIV),0.01613,Canada Life
LEBG,Canadian Growth Balanced Fund (LEBG),0.01583,Canada Life
LIG,Canadian Fixed Income Balanced III Fund (LIG),0.01583,Canada Life
PBA,North American Balanced Fund (PBA),0.01583,Canada Life
SRBAL,SRI Balanced Fund (SRBAL),0.01583,Canada Life
LCBM,Strategic Income Fund (LCBM),0.01613,Canada Life
LINMK,Canadian Fixed Income Balanced II Fund (LINMK),0.01583,Canada Life
LBMK,Global Strategic Income Fund (LBMK),0.01613,Canada Life
LLUSE,US Core Growth Fund (LLUSE),0.01583,Canada Life
S178,US Disciplined Value Fund (S178),0.01583,Canada Life
USDVG,US Dividend Fund (USDVG),0.01583,Canada Life
USIXG,US Index Registered Fund (USIXG) ,0.01383,Canada Life
LUSEG,US Large Cap Equity Fund (LUSEG),0.01583,Canada Life
USGSL,US Mid Cap Equity Fund (USGSL),0.01683,Canada Life
LLMCG,US Mid Cap Fund (LLMCG),0.01683,Canada Life
ISMK,International Equity Fund (ISMK),0.01723,Canada Life
LGEM,Global Growth Fund (LGEM),0.01663,Canada Life
GSCMK,Global Small-Mid Cap Equity Fund (GSCMK),0.01813,Canada Life
FEMK,Ivy Foreign Equity Fund (FEMK),0.01663,Canada Life
LLEMS,Emerging Markets Fund (LLEMS),0.01963,Canada Life
LCRAG,Global Resources Fund (LCRAG),0.01533,Canada Life
GINFL,Global Infrastructure Equity Fund (GINFL),0.01633,Canada Life
LNRM,Global Resource Fund (LNRM),0.01693,Canada Life
LPMM,Precious Metals Fund (LPMM),0.01683,Canada Life
LLSTG,Science & Technology Fund (LLSTG),0.01583,Canada Life
LEES,European Equity Fund (LEES),0.01633,Canada Life
S034,Global Equity Fund (S034),0.01633,Canada Life
SRGES,SRI Global Equity Fund (SRGES),0.01683,Canada Life
GDIVS,Global Dividend Fund (GDIVS),0.01633,Canada Life
IES,International Equity Fund (IES),0.01633,Canada Life
LAEM,US Growth Fund (LAEM),0.01773,Canada Life
USVEP,US Value Equity Fund (USVEP),0.01733,Canada Life
USLVP,US Low Volatility Fund (USLVP),0.01733,Canada Life
LGEL,Global Equity Fund (LGEL),0.01733,Canada Life
LIEP,International Equity Fund (LIEP),0.01733,Canada Life
EMP,Emerging Markets Fund (EMP),0.01933,Canada Life
AGGE,Growth Equity Fund (AGGE),0.01683,Canada Life
LAGAG,American Growth Fund (LAGAG),0.01883,Canada Life
LBOBG,Bond Fund (LBOBG),0.01558,Canada Life
LNABG,Canadian Equity Fund (LNABG),0.01583,Canada Life
BALBG,Balanced Global Fund (BALBG),0.01653,Canada Life
LBABG,Balanced Fund (LBABG),0.01583,Canada Life
S261,American Equity Fund (S261),0.01653,Canada Life
S158,Core Plus Bond Fund (S158) - Franklin Canada,0.01683,Canada Life
S103,Canadian Equity Fund (S103) - ClearBridge,0.01633,Canada Life
S105,Cdn Small Cap Equity Fund (S105) - ClearBridge,0.01983,Canada Life
S104,Balanced Fund (S104) - Templeton,0.01683,Canada Life
LIETN,International Equity N Fund (LIETN) - Templeton,0.01953,Canada Life
BGI25,BlackRock LifePath 2025 (BGI25),0.0151782,Canada Life
BGI30,BlackRock LifePath 2030 (BGI30),0.01523382,Canada Life
BGI35,BlackRock LifePath 2035 (BGI35),0.0152948,Canada Life
BGI40,BlackRock LifePath 2040 (BGI40),0.01534359,Canada Life
BGI45,BlackRock LifePath 2045 (BGI45),0.01537411,Canada Life
BGI50,BlackRock LifePath 2050 (BGI50),0.01538748,Canada Life
BGI55,BlackRock LifePath 2055 (BGI55),0.01538688,Canada Life
BGI60,BlackRock LifePath 2060 (BGI60),0.01539262,Canada Life
