fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,1.173918,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,1.9236590000000002,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,2.423911,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,2.933394,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,3.415013,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),1.76453,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),2.055308,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),3.074616,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),3.5358360000000006,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),4.00651,Available,Industrial Alliance
FU070BRUT,Money Market,0.422201,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.14706,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),-0.335858,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),-0.402996,Available,Industrial Alliance
FU020BRUT,Bond,-0.291007,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,-0.355677,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),-0.432007,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),-0.393191,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),-0.330148,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),-0.134385,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),-0.329308,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,0.35111,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-0.623948,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-0.4693220000000001,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),-0.349277,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.45241,Available,Industrial Alliance
FU240BRUT,Diversified Security,1.236852,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),2.333304,Available,Industrial Alliance
FU040BRUT,Diversified,2.053911,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),2.199955,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,2.878178,Available,Industrial Alliance
