fund_identifier,funds,returns,fund_company,fund_type
2589,Manulife Fidelity ClearPath Institutional 2055 Fund34,-1.02,Manulife,Available
2590,Manulife Fidelity ClearPath Institutional 2060 Fund34,-1.02,Manulife,Available
2591,Manulife Fidelity ClearPath Institutional 2065 Fund34,-1.01,Manulife,Available
2661,Manulife Income Index Portfolio Fund34,-1.11,Manulife,Available
2663,Manulife Balanced Index Portfolio Fund34,-1.21,Manulife,Available
2664,Manulife Growth Index Portfolio Fund34,-1.57,Manulife,Available
2680,Manulife MFS LifePlan Retiree Fund34,-0.55,Manulife,Available
2683,Manulife MFS LifePlan Retirement 2025 Fund34,-0.58,Manulife,Available
2684,Manulife MFS LifePlan Retirement 2030 Fund34,-0.81,Manulife,Available
2685,Manulife MFS LifePlan Retirement 2035 Fund34,-1.11,Manulife,Available
2686,Manulife MFS LifePlan Retirement 2040 Fund34,-1.4,Manulife,Available
2687,Manulife MFS LifePlan Retirement 2045 Fund34,-1.51,Manulife,Available
2688,Manulife MFS LifePlan Retirement 2050 Fund34,-1.62,Manulife,Available
2689,Manulife MFS LifePlan Retirement 2055 Fund34,-1.61,Manulife,Available
2690,Manulife MFS LifePath Retirement 2060 Fund34,-1.61,Manulife,Available
2691,Manulife MFS LifePlan Retirement 2065 Fund34,-1.61,Manulife,Available
2700,Manulife Retirement Date Index+ Income Fund34,-0.56,Manulife,Available
2725,Manulife Retirement Date Index+ 2025 Fund34,-0.62,Manulife,Available
2730,Manulife Retirement Date Index+ 2030 Fund34,-0.85,Manulife,Available
2735,Manulife Retirement Date Index+ 2035 Fund34,-1.01,Manulife,Available
2740,Manulife Retirement Date Index+ 2040 Fund34,-0.99,Manulife,Available
2745,Manulife Retirement Date Index+ 2045 Fund34,-0.92,Manulife,Available
2750,Manulife Retirement Date Index+ 2050 Fund34,-0.93,Manulife,Available
2755,Manulife Retirement Date Index+ 2055 Fund34,-0.92,Manulife,Available
2760,Manulife Retirement Date Index+ 2060 Fund34,-0.92,Manulife,Available
