fund_identifier,funds,fees,fund_company
FOUSA06OLU,MFS Low Volatility Canadian Eq Seg Fund,0.0106,Sun Life
FOUSA06OLP,MFS® Balanced Value Segregated Fund,0.0109,Sun Life
FOUSA06OM2,MFS® Cdn Fixed Income Segregated Fund,0.0105,Sun Life
F0CAN069WP,MFS® Conservative Allocation Seg Fund,0.012,Sun Life
FOUSA06SOI,MFS® Global Equity Segregated Fund,0.0134,Sun Life
F0CAN069WR,MFS® Growth Allocation Segregated Fund,0.012,Sun Life
FOUSA06SOJ,MFS® International Equity Segregated Fund,0.0135,Sun Life
FOUSA06OO4,MFS® LifePlan Retiree Segregated Fund,0.0119,Sun Life
FOUSA06OOO,MFS® LifePlan Retirement 2025 Seg Fund,0.0116,Sun Life
FOUSA06OOP,MFS® LifePlan Retirement 2030 Seg Fund,0.01145,Sun Life
FOUSA06OOQ,MFS® LifePlan Retirement 2035 Seg Fund,0.01145,Sun Life
FOUSA06OOR,MFS® LifePlan Retirement 2040 Seg Fund,0.01145,Sun Life
FOUSA08MZ1,MFS® LifePlan Retirement 2045 Seg Fund,0.01155,Sun Life
FOUSA08MZ2,MFS® LifePlan Retirement 2050 Seg Fund,0.0116,Sun Life
F00000WUXK,MFS® LifePlan Retirement 2055 Seg Fund,0.0117,Sun Life
F0000139VT,MFS® LifePlan Retirement 2060 Seg Fund,0.012,Sun Life
F000016XIO,MFS® LifePlan Retirement 2065 Seg Fund,0.012,Sun Life
F00000Q625,MFS® Low Volatility Global Eq Seg Fund,0.0128,Sun Life
F0CAN069WQ,MFS® Moderate Allocation Segregated Fund,0.0118,Sun Life
FOUSA06ONR,PH&N Balanced Pension Segregated Fund,0.01095,Sun Life
FOUSA06ONU,PH&N Bond Segregated Fund,0.01105,Sun Life
F00000Q629,PH&N Cdn Equity Value Segregated Fund,0.0111,Sun Life
F00000VYJK,PH&N Core Plus Bond Segregated Fund,0.01155,Sun Life
FOUSA06ONZ,PH&N Dividend Income Segregated Fund,0.0111,Sun Life
F00001CHQ8,PH&N Fossil Fuel Free Balanced Seg Fund,0.0112,Sun Life
F00001CHQ9,PH&N Fossil Fuel Free Bond Seg Fund,0.0112,Sun Life
F00000YT9U,PH&N Fossil Fuel Free Global Eq Seg Fund,0.0142,Sun Life
F00001CHQA,PH&N Fossil Fuel Free LwVol Cdn Eq Sg Fd,0.0112,Sun Life
FOUSA06OO1,PH&N Global Equity Segregated Fund,0.01405,Sun Life
FOUSA06OO9,PH&N Overseas Equity Segregated Fund,0.0142,Sun Life
FOUSA06OOC,PH&N US Equity Segregated Fund,0.0112,Sun Life
F00000Q62B,PIMCO Canada Cdn CorePLUS Bond Seg Fund,0.0129,Sun Life
F000013KCF,PIMCO Canada Monthly Income Seg Fund,0.015,Sun Life
F00000SA75,Schroder Diversified Growth Seg Fund,0.0135,Sun Life
F0000161R4,Schroder Global Sustainable Grwth Seg Fd,0.017,Sun Life
F00000MCRN,SL BlackRock Canadian Equity Seg Fund,0.0099,Sun Life
FOUSA08ZG7,SL Granite 2025 Seg Fund,0.0123,Sun Life
FOUSA08ZG8,SL Granite 2030 Seg Fund,0.0123,Sun Life
FOUSA08ZG9,SL Granite 2035 Seg Fund,0.0123,Sun Life
FOUSA08ZGA,SL Granite 2040 Seg Fund,0.0123,Sun Life
FOUSA08ZGB,SL Granite 2045 Seg Fund,0.0123,Sun Life
F00000NCJU,SL Granite 2050 Seg Fund,0.0123,Sun Life
F00000VOOQ,SL Granite 2055 Seg Fund,0.01235,Sun Life
F000013QO0,SL Granite 2060 Seg Fund,0.0125,Sun Life
FOUSA08PE3,SL Granite Aggressive Seg Fund,0.01215,Sun Life
FOUSA08PE1,SL Granite Balanced Seg Fund,0.0121,Sun Life
