fund_identifier,fund_category,fund_company_id
FU9006BRUT,Target Date Funds,3
FU9554BRUT,Target Date Funds,3
FU9007BRUT,Target Date Funds,3
FU9555BRUT,Target Date Funds,3
FU9008BRUT,Target Date Funds,3
FU9556BRUT,Target Date Funds,3
FU9009BRUT,Target Date Funds,3
FU9557BRUT,Target Date Funds,3
FU9340BRUT,Target Date Funds,3
FU004BRUT,Target Date Funds,3
FU9010BRUT,Target Date Funds,3
FU9560BRUT,Target Date Funds,3
FU9011BRUT,Target Date Funds,3
FU9561BRUT,Target Date Funds,3
FU9012BRUT,Target Date Funds,3
FU9562BRUT,Target Date Funds,3
FU9013BRUT,Target Date Funds,3
FU9563BRUT,Target Date Funds,3
FU9014BRUT,Target Date Funds,3
FU9564BRUT,Target Date Funds,3
FU9341BRUT,Target Date Funds,3
FU003BRUT,Target Date Funds,3
FU9015BRUT,Target Date Funds,3
FU9567BRUT,Target Date Funds,3
FU9016BRUT,Target Date Funds,3
FU9568BRUT,Target Date Funds,3
FU9017BRUT,Target Date Funds,3
FU9569BRUT,Target Date Funds,3
FU9018BRUT,Target Date Funds,3
FU9570BRUT,Target Date Funds,3
FU9019BRUT,Target Date Funds,3
FU9571BRUT,Target Date Funds,3
FU9342BRUT,Target Date Funds,3
FU002BRUT,Target Date Funds,3
FU9020BRUT,Target Date Funds,3
FU9574BRUT,Target Date Funds,3
FU9021BRUT,Target Date Funds,3
FU9575BRUT,Target Date Funds,3
FU9022BRUT,Target Date Funds,3
FU9576BRUT,Target Date Funds,3
FU9023BRUT,Target Date Funds,3
FU9577BRUT,Target Date Funds,3
FU9024BRUT,Target Date Funds,3
FU9578BRUT,Target Date Funds,3
FU9343BRUT,Target Date Funds,3
FU001BRUT,Target Date Funds,3
FUA130BRUT,Target Date Funds,3
FU760BRUT,US Equity Funds,3
FU895BRUT,US Equity Funds,3
FU518BRUT,US Equity Funds,3
FU705BRUT,US Equity Funds,3
FU512BRUT,US Equity Funds,3
FU132BRUT,US Equity Funds,3
FU513BRUT,US Equity Funds,3
FU479BRUT,US Equity Funds,3
FU343BRUT,US Equity Funds,3
FU642BRUT,US Equity Funds,3
FU051BRUT,US Equity Funds,3
