fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,2.096147,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,2.255619,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,2.386645,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,2.504455,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,2.594173,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),1.784916,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),1.830973,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),2.099295,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),2.205468,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),2.329053,Available,Industrial Alliance
FU070BRUT,Money Market,0.44087600000000005,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.9625689999999999,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),1.777216,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),1.8026610000000003,Available,Industrial Alliance
FU020BRUT,Bond,1.8856500000000003,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,1.8426070000000003,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),1.9387370000000002,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),1.7750040000000002,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),1.824752,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),1.936601,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),1.9715069999999997,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,1.49097,Available,Industrial Alliance
FU504BRUT,Long Term Bond,3.2886700000000006,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),3.474364,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),1.471823,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.584503,Available,Industrial Alliance
FU240BRUT,Diversified Security,1.992394,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),2.740924,Available,Industrial Alliance
FU040BRUT,Diversified,2.296888,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),2.795619,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,1.291849,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,1.799833,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),2.32412,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),2.635433,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,2.440729,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,2.55738,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),2.763338,Available,Industrial Alliance
FU160BRUT,Dividend,3.031754,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),3.114934,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),3.100618,Available,Industrial Alliance
