fund_identifier,funds,returns,fund_type,fund_company
FU483BRUT,International Equity (Jarislowsky),-1.806191,Available,Industrial Alliance
FU131BRUT,International Equity (Mawer),-1.6625299999999998,Available,Industrial Alliance
FU467BRUT,International Equity (MFS),-1.733123,Available,Industrial Alliance
FU760BRUT,US Equity Index (BlackRock),-2.613412,Available,Industrial Alliance
FU895BRUT,US Equity Index Non-Registered (BlackRock),-2.624515,Available,Industrial Alliance
FU518BRUT,US Dividend Growth,-2.02981,Available,Industrial Alliance
FU705BRUT,US Equity,-2.765896,Available,Industrial Alliance
FU512BRUT,US Equity (Jarislowsky),-2.778679,Available,Industrial Alliance
FU132BRUT,US Equity (Mawer),-2.321355,Available,Industrial Alliance
FU513BRUT,US Equity Core (MFS),-2.595236,Available,Industrial Alliance
FU479BRUT,US Equity (Fiera Capital)**,-4.094142,Available,Industrial Alliance
FU233BRUT,Thematic Innovation,-2.900788,Available,Industrial Alliance
FU642BRUT,US Large Cap Core Growth Equity (T Rowe Price),-2.023729,Available,Industrial Alliance
FU898BRUT,Emerging Markets Equity Index (BlackRock)*,2.119572,Available,Industrial Alliance
FU122BRUT,Emerging Markets (abrdn)*,1.550979,Available,Industrial Alliance
FU758BRUT,Emerging Markets (Templeton)*,0.385443,Available,Industrial Alliance
FU332BRUT,Emerging Markets (Baillie Gifford)*,2.667671,Available,Industrial Alliance
FU491BRUT,Balanced-Risk Allocation (Invesco),-1.482558,Available,Industrial Alliance
FU896BRUT,Global Developed Real Estate Index (BlackRock)*,-4.486631,Available,Industrial Alliance
FU540BRUT,Fidelity Global Real Estate*,-4.787165,Available,Industrial Alliance
FU897BRUT,Global Infrastructure Equity Index (BlackRock)*,-1.375097,Available,Industrial Alliance
FU757BRUT,Global Infrastructure (Lazard)*,-3.141426,Available,Industrial Alliance
FU441BRUT,Commercial Mortgage (Addenda)*,0.014439999999999998,Available,Industrial Alliance
FU442BRUT,Private Debt (TD)*,-1.517133,Available,Industrial Alliance
FU333BRUT,Diversified Fixed Income Alternatives*,-1.04402,Available,Industrial Alliance
FU152BRUT,Global Direct Real Estate - Portfolios (UBS)*,-1.544648,Available,Industrial Alliance
FU153BRUT,Global Direct Real Estate - 100% (UBS)*,-0.923124,Available,Industrial Alliance
FU443BRUT,Global Direct Infrastructure - 100% (IFM)***,9999999900.0,Available,Industrial Alliance
FU334BRUT,Diversified Alternatives*,-0.709444,Available,Industrial Alliance
