fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,2.793673,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,3.013217,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,3.139115,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,3.281754,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,3.400646,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),2.279582,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),2.620013,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),2.890468,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),3.023986,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),3.161119,Available,Industrial Alliance
FU070BRUT,Money Market,0.43439999999999995,Available,Industrial Alliance
FU170BRUT,Short Term Bond,1.6246510000000003,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),2.370919,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),2.523173,Available,Industrial Alliance
FU020BRUT,Bond,2.467425,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,2.481337,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),2.797408,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),2.403858,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),2.432316,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),2.445499,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),2.413881,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,2.273837,Available,Industrial Alliance
FU504BRUT,Long Term Bond,3.111581,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),3.286728,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),2.352786,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.716918,Available,Industrial Alliance
FU240BRUT,Diversified Security,3.090803,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),3.457053,Available,Industrial Alliance
FU040BRUT,Diversified,3.7349679999999994,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),4.754803,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,3.665893,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,3.755212,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),3.779103,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),2.602226,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,4.182811,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,3.7662469999999995,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),5.874487,Available,Industrial Alliance
FU160BRUT,Dividend,6.006173,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),5.592662,Available,Industrial Alliance
