fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,2.025119,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,2.125246,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,2.177955,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,2.241261,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,2.276838,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),1.711972,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),1.818232,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),2.069045,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),2.149824,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),2.320104,Available,Industrial Alliance
FU070BRUT,Money Market,0.39098,Available,Industrial Alliance
FU170BRUT,Short Term Bond,1.347468,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),1.9390110000000003,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),1.963398,Available,Industrial Alliance
FU020BRUT,Bond,1.933154,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,1.9333360000000002,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),2.130615,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),1.878382,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),1.9009309999999997,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),2.035593,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),1.8516299999999999,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,2.250023,Available,Industrial Alliance
FU504BRUT,Long Term Bond,2.732541,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),2.756425,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),1.412467,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.252868,Available,Industrial Alliance
FU240BRUT,Diversified Security,1.838416,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),2.432967,Available,Industrial Alliance
FU040BRUT,Diversified,1.9219340000000003,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),1.908377,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,3.2393030000000005,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,2.438927,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),2.430805,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),2.415064,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,2.007689,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,2.483045,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),3.155973,Available,Industrial Alliance
FU160BRUT,Dividend,2.303664,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),2.13542,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),3.077031,Available,Industrial Alliance
FU359BRUT,Fundamental Canadian Equity (Beutel Goodman),2.322014,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,2.541626,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),2.996883,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,2.446556,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,1.8520169999999998,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,2.679995,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),2.862769,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),2.273868,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),2.478054,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),4.313438,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),4.437561,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),2.439847,Available,Industrial Alliance
FU270BRUT,Fidelity True North,2.157293,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,2.583554,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),1.852027,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),2.468252,Available,Industrial Alliance
FU707BRUT,Global Equity,2.570681,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),1.318768,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,0.880208,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),2.578949,Available,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),1.172366,Available,Industrial Alliance
FU358BRUT,Global Equity Opportunistic Value (Wellington),2.792173,Available,Industrial Alliance
FU945BRUT,Climate Strategy (Wellington),3.2636360000000004,Available,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),2.950516,Available,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),2.439586,Available,Industrial Alliance
