fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,-0.510286,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,-0.655157,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,-0.809033,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,-0.930366,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,-1.025973,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),0.09866199999999999,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),-0.155392,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),-0.237294,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),-0.241902,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),-0.276037,Available,Industrial Alliance
FU070BRUT,Money Market,0.443167,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.346963,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),-0.181325,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),-0.197036,Available,Industrial Alliance
FU020BRUT,Bond,-0.148634,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,-0.096936,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),-0.269209,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),-0.23142,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),-0.263668,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),-0.007769,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),-0.231461,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,-0.06111599999999999,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-1.189474,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-0.958317,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),-0.322435,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.316131,Available,Industrial Alliance
FU240BRUT,Diversified Security,-0.187664,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),-0.48009599999999997,Available,Industrial Alliance
FU040BRUT,Diversified,-0.331627,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),-1.136368,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,-0.093446,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,-0.500995,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),-0.23582900000000004,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),-0.516556,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,-0.421093,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,-1.014923,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),-1.377988,Available,Industrial Alliance
FU160BRUT,Dividend,-1.6843220000000003,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),-2.664669,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),-2.348626,Available,Industrial Alliance
FU358BRUT,Fundamental Canadian Equity (Beutel Goodman),-1.238165,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,-2.252257,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),-1.185737,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,-1.081446,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,-0.9483700000000002,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,-1.050973,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),-1.179999,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),-1.425559,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),-1.8572290000000002,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),0.23583799999999996,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),-0.245576,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),-1.186446,Available,Industrial Alliance
FU270BRUT,Fidelity True North,-0.501349,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,-0.844938,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),-2.333237,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),-0.056846,Available,Industrial Alliance
FU707BRUT,Global Equity,0.877467,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),-0.07935,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,0.638642,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),-2.231658,Available,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),0.908308,Available,Industrial Alliance
FU359BRUT,Global Equity Opportunistic Value (Wellington),-2.483174,Available,Industrial Alliance
FU945BRUT,Climate Strategy (Wellington),-2.021753,Available,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),0.459493,Available,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),-0.11298,Available,Industrial Alliance
FU133BRUT,Global Equity (Mawer),2.082426,Available,Industrial Alliance
FU456BRUT,Global Equity (Walter Scott),0.636753,Available,Industrial Alliance
FU595BRUT,Global Equity (Fiera Capital)**,0.78241,Available,Industrial Alliance
FU724BRUT,Global Equity (PH&N) ,-1.028819,Available,Industrial Alliance
FU641BRUT,Global Equity Growth (T Rowe Price),-0.521368,Available,Industrial Alliance
FU331BRUT,Global Equity (Baillie Gifford),-3.161944,Available,Industrial Alliance
FU387BRUT,Sustainable Growth (Baillie Gifford),-2.540389,Available,Industrial Alliance
FU781BRUT,Global Equity Small Cap (Fisher),-1.486198,Available,Industrial Alliance
FU609BRUT,Global Equity Small Cap (Global Alpha),-1.270307,Available,Industrial Alliance
FU130BRUT,Global Equity Small Cap (Mawer)**,1.880016,Available,Industrial Alliance
FU300BRUT,International Equity Index (BlackRock),-1.146002,Available,Industrial Alliance
FU706BRUT,International Equity,-0.866329,Available,Industrial Alliance
FU483BRUT,International Equity (Jarislowsky),-2.032503,Available,Industrial Alliance
FU131BRUT,International Equity (Mawer),-0.7992259999999999,Available,Industrial Alliance
FU467BRUT,International Equity (MFS),-0.8070899999999999,Available,Industrial Alliance
FU760BRUT,US Equity Index (BlackRock),1.161139,Available,Industrial Alliance
FU895BRUT,US Equity Index Non-Registered (BlackRock),1.139018,Available,Industrial Alliance
FU518BRUT,US Dividend Growth,1.474399,Available,Industrial Alliance
FU705BRUT,US Equity,0.699996,Available,Industrial Alliance
FU512BRUT,US Equity (Jarislowsky),2.200474,Available,Industrial Alliance
FU132BRUT,US Equity (Mawer),2.998116,Available,Industrial Alliance
FU513BRUT,US Equity Core (MFS),0.515618,Available,Industrial Alliance
FU479BRUT,US Equity (Fiera Capital)**,1.6306909999999997,Available,Industrial Alliance
FU233BRUT,Thematic Innovation,0.483847,Available,Industrial Alliance
FU642BRUT,US Large Cap Core Growth Equity (T Rowe Price),1.6791369999999999,Available,Industrial Alliance
FU898BRUT,Emerging Markets Equity Index (BlackRock)*,-3.560916,Available,Industrial Alliance
FU122BRUT,Emerging Markets (abrdn)*,-3.069253,Available,Industrial Alliance
FU758BRUT,Emerging Markets (Templeton)*,-3.8354340000000002,Available,Industrial Alliance
FU332BRUT,Emerging Markets (Baillie Gifford)*,-3.9120259999999996,Available,Industrial Alliance
FU491BRUT,Balanced-Risk Allocation (Invesco),-1.046279,Available,Industrial Alliance
FU896BRUT,Global Developed Real Estate Index (BlackRock)*,-0.644282,Available,Industrial Alliance
FU540BRUT,Fidelity Global Real Estate*,-0.747562,Available,Industrial Alliance
FU897BRUT,Global Infrastructure Equity Index (BlackRock)*,-2.024092,Available,Industrial Alliance
FU757BRUT,Global Infrastructure (Lazard)*,-4.417467,Available,Industrial Alliance
FU441BRUT,Commercial Mortgage (Addenda)*,0.66087,Available,Industrial Alliance
FU442BRUT,Private Debt (TD)*,-0.019629,Available,Industrial Alliance
FU333BRUT,Diversified Fixed Income Alternatives*,0.20728600000000003,Available,Industrial Alliance
FU152BRUT,Global Direct Real Estate - Portfolios (UBS)*,-0.328196,Available,Industrial Alliance
FU153BRUT,Global Direct Real Estate - 100% (UBS)*,0.04893100000000001,Available,Industrial Alliance
FU443BRUT,Global Direct Infrastructure - 100% (IFM)***,9999999900.0,Available,Industrial Alliance
FU334BRUT,Diversified Alternatives*,0.1905,Available,Industrial Alliance
FU884BRUT,LifePath Retirement Index I,-0.372187,Available,Industrial Alliance
FU879BRUT,LifePath 2025 Index,-0.37128,Available,Industrial Alliance
FU880BRUT,LifePath 2030 Index,-0.41453100000000004,Available,Industrial Alliance
FU881BRUT,LifePath 2035 Index,-0.455803,Available,Industrial Alliance
FU882BRUT,LifePath 2040 Index,-0.499528,Available,Industrial Alliance
FU883BRUT,LifePath 2045 Index,-0.545062,Available,Industrial Alliance
FU894BRUT,LifePath 2050 Index,-0.575384,Available,Industrial Alliance
FU912BRUT,LifePath 2055 Index,-0.594632,Available,Industrial Alliance
FU927BRUT,LifePath 2060 Index,-0.590876,Available,Industrial Alliance
FU949BRUT,LifePath 2065 Index,-0.544763,Available,Industrial Alliance
FU411BRUT,ClearPath Income,-0.48181000000000007,Available,Industrial Alliance
FU412BRUT,ClearPath 2020,-0.743008,Available,Industrial Alliance
FU413BRUT,ClearPath 2025,-0.8081170000000001,Available,Industrial Alliance
FU414BRUT,ClearPath 2030,-0.818434,Available,Industrial Alliance
FU415BRUT,ClearPath 2035,-0.817533,Available,Industrial Alliance
FU416BRUT,ClearPath 2040,-0.8805509999999999,Available,Industrial Alliance
FU417BRUT,ClearPath 2045,-0.936118,Available,Industrial Alliance
FU418BRUT,ClearPath 2050,-0.930281,Available,Industrial Alliance
FU419BRUT,ClearPath 2055,-0.930016,Available,Industrial Alliance
FU721BRUT,ClearPath 2060,-0.934192,Available,Industrial Alliance
FU9000BRUT,Conservative - Attitude 2006-2010,-0.19882554919745002,Available,Industrial Alliance
FU9546BRUT,Conservative - Attitude 2011-2015,-0.20413280411113,Available,Industrial Alliance
FU9001BRUT,Conservative - Attitude 2016-2020,-0.2217953769678,Available,Industrial Alliance
FU9547BRUT,Conservative - Attitude 2021-2025,-0.24616329442006002,Available,Industrial Alliance
FU9002BRUT,Conservative - Attitude 2026-2030,-0.28242767454076,Available,Industrial Alliance
FU9548BRUT,Conservative - Attitude 2031-2035,-0.32953375175671,Available,Industrial Alliance
FU9003BRUT,Conservative - Attitude 2036-2040,-0.40090647474055996,Available,Industrial Alliance
FU9549BRUT,Conservative - Attitude 2041-2045,-0.47758023849660997,Available,Industrial Alliance
FU9004BRUT,Conservative - Attitude 2046-2050,-0.52155831553293,Available,Industrial Alliance
FU9550BRUT,Conservative - Attitude 2051-2055,-0.55008689220861,Available,Industrial Alliance
FU9339BRUT,Conservative - Attitude 2056-2060,-0.5638511164580899,Available,Industrial Alliance
FUA005BRUT,Conservative - Attitude 2061-2065,-0.5638511164580999,Available,Industrial Alliance
FUA134BRUT,Conservative - Attitude 2066-2070,-0.5638511164580999,Available,Industrial Alliance
FU9005BRUT,Moderate - Attitude 2006-2010,-0.24099063363096,Available,Industrial Alliance
FU9553BRUT,Moderate - Attitude 2011-2015,-0.24858407639782001,Available,Industrial Alliance
FU9006BRUT,Moderate - Attitude 2016-2020,-0.27082506758288,Available,Industrial Alliance
FU9554BRUT,Moderate - Attitude 2021-2025,-0.30036706194133,Available,Industrial Alliance
FU9007BRUT,Moderate - Attitude 2026-2030,-0.33440529759964,Available,Industrial Alliance
FU9555BRUT,Moderate - Attitude 2031-2035,-0.37282025531342,Available,Industrial Alliance
FU9008BRUT,Moderate - Attitude 2036-2040,-0.43059948850425994,Available,Industrial Alliance
FU9556BRUT,Moderate - Attitude 2041-2045,-0.5067809811055101,Available,Industrial Alliance
FU9009BRUT,Moderate - Attitude 2046-2050,-0.5632890995366701,Available,Industrial Alliance
FU9557BRUT,Moderate - Attitude 2051-2055,-0.59974286809112,Available,Industrial Alliance
FU9340BRUT,Moderate - Attitude 2056-2060,-0.6168252303969499,Available,Industrial Alliance
FUA004BRUT,Moderate - Attitude 2061-2065,-0.6168252303969499,Available,Industrial Alliance
FUA133BRUT,Moderate - Attitude 2066-2070,-0.6168252303969499,Available,Industrial Alliance
FU9010BRUT,Balanced - Attitude 2006-2010,-0.25832664206519,Available,Industrial Alliance
FU9560BRUT,Balanced - Attitude 2011-2015,-0.2641134270421,Available,Industrial Alliance
FU9011BRUT,Balanced - Attitude 2016-2020,-0.28303730779486,Available,Industrial Alliance
